timestamp,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w
1679570937.43733,-0.1395526,-61.39598,55.22348,0.5651629,-0.2128536,-0.231234,0.7627681
1679570937.51014,-0.1395526,-61.39598,55.22348,0.5651629,-0.2128536,-0.231234,0.7627681
1679570937.57995,-0.1395526,-61.39598,55.22348,0.5651629,-0.2128536,-0.231234,0.7627681
1679570937.64877,-0.1395526,-61.39598,55.22348,0.5651629,-0.2128536,-0.231234,0.7627681
1679570937.72257,-0.139753,-61.40962,55.06104,0.5650333,-0.2131988,-0.2317003,0.7626262
1679570937.80232,0,-61.4319,54.79018,0.5646787,-0.2121412,-0.2321755,0.7630391
1679570937.87712,0.3742774,-61.44933,54.57414,0.5644135,-0.210312,-0.2322274,0.7637255
1679570937.95192,0.7031034,-61.46641,54.35901,0.564002,-0.2093283,-0.2331618,0.7640151
1679570938.02972,0.9849761,-61.52137,54.2873,0.5641498,-0.2079405,-0.2321659,0.7645879
1679570938.1105,1.78598,-61.58876,54.06067,0.5631699,-0.2045596,-0.2341075,0.7656296
1679570938.18131,2.920676,-61.60905,53.81302,0.5619867,-0.2006633,-0.2366618,0.766744
1679570938.25262,3.488509,-61.56627,53.74009,0.5617871,-0.1996125,-0.2371639,0.7670093
1679570938.32822,4.291612,-61.57021,53.71312,0.5615738,-0.1981363,-0.2377405,0.7673697
1679570938.40017,5.762406,-61.53504,53.58022,0.5614836,-0.1960233,-0.2380097,0.7678948
1679570938.47297,7.191271,-61.55026,53.44364,0.5625588,-0.195781,-0.2354255,0.7679663
1679570938.54661,8.804489,-61.49928,52.83414,0.5633835,-0.1980502,-0.2341657,0.7671647
1679570938.6224,10.62922,-61.24747,52.2352,0.5628829,-0.1980461,-0.2357814,0.7670383
1679570938.69721,12.1444,-61.14221,51.57084,0.5641272,-0.2011093,-0.2341508,0.7658257
1679570938.774,12.8536,-61.05959,51.30458,0.5640108,-0.2014258,-0.2343419,0.7657698
1679570938.8478,14.16563,-60.95074,50.53213,0.5669006,-0.200967,-0.2363263,0.7631421
1679570938.9226,16.04295,-60.78776,49.7578,0.5702133,-0.1976532,-0.2368639,0.7613708
1679570938.9994,18.34485,-60.71717,49.03341,0.5711282,-0.1956536,-0.2360688,0.7614484
1679570939.07719,20.31605,-60.73125,48.69191,0.5737731,-0.1966896,-0.2338065,0.7598895
1679570939.149,21.52122,-60.68371,48.7576,0.5762075,-0.1968249,-0.2313384,0.7587671
1679570939.22579,23.0542,-60.68467,48.9883,0.5778426,-0.1965143,-0.2302701,0.7579286
1679570939.2976,24.23101,-60.68467,49.22163,0.5790699,-0.197416,-0.2295798,0.7569664
1679570939.3734,25.20989,-60.68467,49.42493,0.5796516,-0.1970455,-0.2306154,0.7563026
1679570939.4472,26.68691,-60.68561,49.69195,0.5818726,-0.1965832,-0.2304027,0.7547808
1679570939.521,27.96644,-60.68653,49.93116,0.5841685,-0.1964159,-0.2299631,0.7531832
1679570939.5958,29.27942,-60.68653,50.24895,0.5854625,-0.1961943,-0.2301241,0.7521864
1679570939.66661,30.45708,-60.68743,50.49104,0.5855018,-0.1951567,-0.2311756,0.7521032
1679570939.74041,32.19314,-60.68999,50.78436,0.585583,-0.1949198,-0.2320945,0.7518185
1679570939.81521,33.12542,-60.6908,50.98718,0.5855253,-0.1949897,-0.2322956,0.7517831
1679570939.89045,34.11423,-60.64179,51.17855,0.5865529,-0.1962164,-0.233347,0.7503359
1679570939.96326,35.15425,-60.49234,51.37933,0.5864882,-0.1964291,-0.2346659,0.7499194
1679570940.03606,35.9811,-60.4425,51.59532,0.5869475,-0.1968053,-0.2346154,0.7494771
1679570940.11099,37.40773,-60.44711,51.58802,0.5868405,-0.1981307,-0.2354648,0.7489451
1679570940.18379,39.04477,-60.45242,50.97934,0.5862013,-0.1983023,-0.2353605,0.7494329
1679570940.26059,40.89874,-60.44758,50.28899,0.5886297,-0.1986391,-0.2357199,0.7473243
1679570940.3324,42.37887,-60.43385,49.65767,0.5901985,-0.1985052,-0.2349786,0.7463554
1679570940.40175,44.10835,-60.40852,49.01443,0.5918751,-0.2005022,-0.2321653,0.7453737
1679570940.47356,44.84932,-60.39666,48.82669,0.5933995,-0.2011009,-0.2295706,0.7448039
1679570940.54704,45.76148,-60.39019,48.94025,0.5948552,-0.2013201,-0.2278952,0.7440976
1679570940.6169,47.15533,-60.37983,49.13329,0.5941598,-0.2027806,-0.2288035,0.7439779
1679570940.68971,47.91004,-60.37803,49.37603,0.5941297,-0.2041702,-0.2286314,0.7436748
1679570940.76402,48.54534,-60.37803,49.63384,0.5941071,-0.2066497,-0.2289138,0.7429206
1679570940.83184,48.78931,-60.37803,49.7339,0.5939097,-0.2075966,-0.2296927,0.742574
1679570940.90787,49.07461,-60.37436,49.73409,0.5936325,-0.2084217,-0.2302447,0.7423936
1679570940.98167,49.32501,-60.36478,49.54395,0.5939531,-0.2089075,-0.2309612,0.7417778
1679570941.05647,49.34583,-60.3628,49.4938,0.5942371,-0.2096026,-0.2298306,0.7417054
1679570941.13027,49.24807,-60.3628,49.45326,0.5950856,-0.2110379,-0.2270759,0.7414665
1679570941.20208,48.81538,-60.41332,49.25312,0.5957339,-0.2116887,-0.2234315,0.7418675
1679570941.27731,47.92735,-60.51636,48.90802,0.5965708,-0.2124436,-0.221059,0.7416899
1679570941.34912,46.89417,-60.51636,48.49862,0.5969082,-0.2141321,-0.2205257,0.7410914
1679570941.42392,45.62112,-60.52026,48.12443,0.5976583,-0.2178272,-0.2210101,0.7392634
1679570941.49572,44.36937,-60.58724,48.15628,0.5984808,-0.2193543,-0.2193194,0.7386498
1679570941.56753,43.59648,-60.59879,48.27818,0.597921,-0.220132,-0.2187263,0.7390475
1679570941.64034,41.95084,-60.61203,48.21106,0.595637,-0.2230301,-0.2161349,0.7407833
1679570941.71613,40.06088,-60.62691,48.25471,0.5959409,-0.2250798,-0.2157103,0.7400422
1679570941.79193,38.97127,-60.63316,48.23938,0.5946078,-0.2242594,-0.2174497,0.7408541
1679570941.86573,38.01567,-60.63688,48.16142,0.5921654,-0.2236521,-0.2179949,0.7428312
1679570941.93854,36.7801,-60.63943,47.948,0.5915264,-0.2236958,-0.218129,0.7432876
1679570942.01434,35.75779,-60.64103,47.75377,0.5910444,-0.2232422,-0.2188555,0.7435938
1679570942.08814,34.39692,-60.64652,47.81055,0.5901989,-0.2227004,-0.2190791,0.7443615
1679570942.15995,33.41063,-60.64821,47.70259,0.5890582,-0.2226362,-0.2193061,0.745217
1679570942.23076,32.87885,-60.64767,47.50027,0.588594,-0.2221913,-0.21916,0.7457594
1679570942.30057,31.88388,-60.64767,47.23397,0.5885728,-0.2228464,-0.2179111,0.7459466
1679570942.37437,31.08635,-60.64767,47.02682,0.5883701,-0.2228892,-0.217146,0.7463167
1679570942.44818,29.48729,-60.64767,46.62829,0.5857816,-0.2244459,-0.2161734,0.7481664
1679570942.51899,27.46498,-60.59767,46.23244,0.5835853,-0.2252344,-0.2170623,0.7493874
1679570942.59379,25.80542,-60.59767,45.871,0.5820433,-0.2256677,-0.2183896,0.7500704
1679570942.66659,23.83418,-60.54713,45.49273,0.5811216,-0.2253165,-0.2187573,0.7507832
1679570942.7384,22.56997,-60.54713,45.25421,0.5795406,-0.2242754,-0.2196834,0.7520456
1679570942.8142,21.70894,-60.54713,45.09945,0.5788475,-0.2248527,-0.2193166,0.7525138
1679570942.886,20.4408,-60.54713,44.8828,0.5783647,-0.2238899,-0.2193416,0.7531645
1679570942.95682,18.34346,-60.59869,44.64329,0.5776208,-0.223444,-0.219295,0.7538811
1679570943.02962,16.71414,-60.59869,44.41264,0.5757738,-0.2230164,-0.2197763,0.7552792
1679570943.10442,14.65834,-60.54908,44.28245,0.5723214,-0.2202359,-0.220905,0.7583834
1679570943.18022,13.10393,-60.55067,44.32721,0.5700574,-0.2184073,-0.2229869,0.7600064
1679570943.25302,12.25557,-60.5524,44.56813,0.567552,-0.2167654,-0.2244586,0.7619159
1679570943.32782,11.10374,-60.35117,44.81347,0.5647656,-0.2180506,-0.2262817,0.7630795
1679570943.40262,9.509352,-59.74579,44.92582,0.5625657,-0.2202854,-0.2255876,0.7642672
