timestamp,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w
1678298983.69824,-22.17587,-69.05761,-2.445455,0.2663299,-0.08868654,-0.3143847,0.9068436
1678298983.76107,-31.39322,-66.53441,-2.471446,0.2755601,-0.08451559,-0.3165763,0.9037163
1678298983.8259,-37.2915,-64.52602,-2.371326,0.2827223,-0.06298099,-0.3193535,0.9022831
1678298983.89072,-37.4814,-64.38824,-2.231082,0.2834959,-0.05021586,-0.3182329,0.9032366
1678298983.95655,-37.17147,-64.49736,-2.158055,0.2833401,-0.04595695,-0.3174256,0.903796
1678298984.02237,-33.72536,-65.33179,-2.485289,0.280394,-0.03294293,-0.3158778,0.9058229
1678298984.0862,-28.19985,-66.13349,-2.857336,0.2748688,-0.02309839,-0.3172044,0.907356
1678298984.15003,-21.32191,-66.47736,-3.038599,0.267899,-0.02101353,-0.3175595,0.9093649
1678298984.21386,-14.10007,-66.5494,-3.577515,0.2606687,-0.01960366,-0.3219514,0.9099532
1678298984.28367,-4.049538,-66.16122,-4.392456,0.2505198,-0.02390527,-0.3289998,0.9101799
1678298984.35749,7.275409,-64.74869,-5.010664,0.2446006,-0.03298187,-0.3340235,0.9096764
1678298984.42232,13.14413,-63.91713,-5.043249,0.2457155,-0.04069236,-0.3351431,0.9086513
1678298984.48515,23.571,-61.4912,-3.759422,0.2499861,-0.06058479,-0.3307782,0.907977
1678298984.54997,27.7312,-59.16832,-2.197932,0.2499719,-0.07593377,-0.3238333,0.9093295
1678298984.6168,27.91193,-56.48358,0.1846223,0.2526708,-0.09068546,-0.3158086,0.9100541
1678298984.68262,26.6289,-55.34085,1.991336,0.2542269,-0.09933417,-0.3135583,0.9094958
1678298984.75842,22.53481,-54.4948,3.301727,0.2506473,-0.108489,-0.3099388,0.9106833
1678298984.82125,14.58339,-52.15937,3.824033,0.2566819,-0.112651,-0.3104896,0.9083063
1678298984.88561,6.194017,-44.2578,6.457869,0.2632977,-0.08684505,-0.3135132,0.908208
1678298984.95343,5.884945,-35.31952,11.15225,0.262071,-0.06701256,-0.3090284,0.9117728
1678298985.02125,5.69531,-24.5726,16.21775,0.2624508,-0.0623257,-0.2969979,0.9159843
1678298985.08109,5.498009,-17.30028,19.8547,0.2458253,-0.05875317,-0.2795464,0.9262677
1678298985.15988,5.105406,-16.70365,20.60041,0.2458595,-0.06189409,-0.2638672,0.930643
1678298985.22869,4.944713,-21.6975,19.94674,0.2469534,-0.06088532,-0.2531272,0.933399
1678298985.29851,4.673228,-28.88018,16.86626,0.2470259,-0.06326703,-0.2572711,0.9320875
1678298985.36792,0.1920089,-34.30272,12.70041,0.2494191,-0.07645484,-0.2765843,0.9249032
1678298985.42975,-7.271139,-33.47264,10.57968,0.2558237,-0.08630114,-0.2835329,0.9201714
1678298985.49358,-22.06974,-31.80393,7.693854,0.2713227,-0.09205084,-0.2844197,0.9148858
1678298985.55841,-33.2069,-30.07875,5.435936,0.2878856,-0.06397521,-0.2896932,0.910553
1678298985.62223,-31.83056,-29.98188,5.349755,0.2904581,-0.02776426,-0.289659,0.9115705
1678298985.68706,-25.51645,-30.50725,5.510711,0.2847531,-0.006936791,-0.2897318,0.9137412
1678298985.74989,-13.2011,-31.24769,5.742535,0.2717779,0.009091058,-0.2899832,0.9175859
1678298985.81273,1.536487,-32.0905,5.893836,0.2553525,0.009643713,-0.2894332,0.9224589
1678298985.89251,15.80114,-34.63477,5.340171,0.2386095,-0.01265258,-0.2821594,0.9291348
1678298985.95834,19.63962,-37.49646,3.286254,0.2321082,-0.03550979,-0.2835526,0.9297649
1678298986.02117,15.5959,-38.95394,-0.4917303,0.234109,-0.05673447,-0.284962,0.9277773
1678298986.08699,11.24307,-42.79554,-5.561997,0.2381301,-0.06116801,-0.2897313,0.924991
1678298986.14982,8.782048,-49.61823,-10.97883,0.2403173,-0.0591374,-0.3043532,0.9198475
1678298986.21266,3.901672,-54.3528,-14.09389,0.244238,-0.06602411,-0.3143208,0.9149814
1678298986.29344,-12.88285,-53.24068,-15.64369,0.2611071,-0.08346812,-0.3145788,0.9087884
1678298986.36126,-28.46902,-50.06828,-17.32336,0.2817855,-0.07514999,-0.3199854,0.9014204
1678298986.42708,-31.20091,-47.16067,-13.15603,0.2911147,-0.03373877,-0.3125275,0.903571
1678298986.49092,-33.05733,-44.87117,-10.69802,0.2931865,-0.03047107,-0.3104365,0.903738
1678298986.55773,-36.77914,-35.44616,-5.504176,0.2993689,-0.02468431,-0.3095878,0.9021776
1678298986.62455,-34.39879,-20.28993,3.404389,0.3064215,0.001368316,-0.2790526,0.9100734
1678298986.69337,-29.98879,-21.65178,3.647127,0.3034568,0.01188446,-0.2593477,0.9167941
