timestamp;left_pos_x;left_pos_y;left_pos_z;left_rot_x;left_rot_y;left_rot_z;left_rot_w;right_pos_x;right_pos_y;right_pos_z;right_rot_x;right_rot_y;right_rot_z;right_rot_w;obj_pos_x;obj_pos_y;obj_pos_z;obj_rot_x;obj_rot_y;obj_rot_z;obj_rot_w
2;-0,06920898;0,1068535;0,1693983;-0,2174154;0,05427997;0,2917581;0,9298717;0,2192481;0,1296267;0,160247;-0,2540286;0,03844373;-0,3302318;0,9082613;-0,0004968456;-0,08633403;0,1606048;0,1230354;-0,0277684;0,00964102;0,9919668
3;-0,06552005;0,102126;0,1701743;-0,2099455;0,05947863;0,2950087;0,9302446;0,215865;0,1299199;0,1597039;-0,264885;0,009114793;-0,3430956;0,9011317;-0,0005581279;-0,08763731;0,1636393;0,1243289;-0,03736512;0,009211564;0,9914945
4;-0,06497586;0,1004223;0,1706378;-0,2077017;0,06084118;0,2934414;0,9311555;0,2151306;0,1303293;0,1599178;-0,26825;0,007746726;-0,3447185;0,8995283;-0,0005963757;-0,0878098;0,1640684;0,1246653;-0,03820953;0,009262783;0,9914196
5;-0,06468932;0,100143;0,1710551;-0,2050922;0,05901585;0,2883142;0,9334502;0,2144661;0,1302307;0,1602156;-0,2685069;0,005247476;-0,3425024;0,9003159;-0,0006122702;-0,08790908;0,1643078;0,1248246;-0,0387675;0,009273833;0,9913778
6;-0,06494915;0,1010821;0,1703703;-0,2070903;0,05968469;0,2908714;0,9321724;0,2139958;0,1300078;0,1604879;-0,2689154;0,004289143;-0,3459432;0,8988823;-0,000607661;-0,08825561;0,1650681;0,125043;-0,04142011;0,0091315;0,9912443
7;-0,06583447;0,1012806;0,1700744;-0,2060031;0,06112008;0,2923181;0,9318677;0,2136035;0,1287772;0,1607976;-0,2666438;-0,005850878;-0,3594809;0,8942261;-0,0006033236;-0,08858172;0,1657835;0,1252475;-0,04391291;0,008997669;0,9911124
8;-0,0661438;0,1014923;0,1694347;-0,2058822;0,06259708;0,290909;0,9322371;0,2133468;0,1279336;0,161013;-0,2655278;-0,01379424;-0,3669601;0,8914286;-0,0005982564;-0,08896268;0,1666193;0,1254849;-0,04682015;0,0088415;0,9909507
9;-0,06670157;0,1007574;0,169228;-0,1992048;0,06242386;0,2878076;0,9346591;0,2131526;0,1269408;0,1610664;-0,2650484;-0,01587336;-0,3720368;0,8894302;-0,0005932266;-0,08934083;0,1674489;0,1257193;-0,04970129;0,008686637;0,990782
10;-0,06743701;0,09971674;0,1694038;-0,1877842;0,0672225;0,2941337;0,9347212;0,2132794;0,1259273;0,1611875;-0,2639609;-0,01097318;-0,3728228;0,8894984;-0,0005883739;-0,08970568;0,1682493;0,125944;-0,05247601;0,008537402;0,9906117
11;-0,06704394;0,09995928;0,1683259;-0,1949495;0,06422708;0,288326;0,9352741;0,2129309;0,125581;0,1607027;-0,2702487;-0,008723657;-0,3666967;0,8901815;-0,0005832614;-0,09009005;0,1690925;0,1261793;-0,05539453;0,00838034;0,9904242
12;-0,06700936;0,09947611;0,1668396;-0,2020396;0,06350698;0,2822685;0,9356663;0,2114125;0,125084;0,1603143;-0,2762918;-0,01320828;-0,3614361;0,8904226;-0,0005790528;-0,09040646;0,1697867;0,1263719;-0,05779301;0,008251188;0,9902636
13;-0,06717882;0,09998241;0,1668396;-0,2001945;0,06210055;0,2845979;0,9354516;0,2113769;0,1252173;0,1609184;-0,271333;-0,01366916;-0,3630129;0,8912986;-0,0005747154;-0,09073257;0,1705021;0,1265694;-0,06026151;0,008118196;0,9900923
14;-0,06724781;0,1002958;0,1666075;-0,1997926;0,06299303;0,2856114;0,9351689;0,2102363;0,1250474;0,1617738;-0,2675727;-0,01050761;-0,3596555;0,8938358;-0,0005701544;-0,09107547;0,1712544;0,1267759;-0,06285307;0,007978502;0,989906
15;-0,0681403;0,1004981;0,1654204;-0,2045998;0,05382127;0,28002;0,9363926;0,2095416;0,1250032;0,1624817;-0,2654021;-4,683761E-05;-0,350884;0,8980213;-0,0005654128;-0,09143196;0,1720365;0,1269894;-0,06554294;0,007833425;0,9897053
16;-0,06881755;0,1010369;0,1651179;-0,2079436;0,04363588;0,27584;0,9374261;0,2097968;0,1250701;0,1632094;-0,2653631;0,02411189;-0,3363892;0,9032405;-0,0005610192;-0,09176228;0,1727612;0,1271861;-0,06803148;0,007699131;0,9895131
17;-0,06986434;0,1014563;0,1655175;-0,206774;0,03565482;0,2729522;0,9388665;0,2103346;0,125546;0,1639055;-0,2606064;0,04091926;-0,3255075;0,907995;-0,0005559972;-0,09213986;0,1735895;0,1274096;-0,07087108;0,007545807;0,9892862
18;-0,07076258;0,1027868;0,1655024;-0,204373;0,03144616;0,2700671;0,9403758;0,2122036;0,1256697;0,1658676;-0,243916;0,06461614;-0,3277996;0,9104269;-0,0005521186;-0,09243146;0,1742292;0,1275813;-0,07306088;0,007427505;0,9891056
19;-0,07183185;0,1051779;0,1651753;-0,203418;0,02609629;0,2647626;0,9422531;0,2142712;0,1259186;0,1680073;-0,2274527;0,08250137;-0,3294975;0,9126282;-0,0005477666;-0,09275866;0,1749471;0,127773;-0,07551424;0,007294899;0,9888976
20;-0,07442316;0,1086128;0,1658353;-0,2035215;0,01069136;0,2459636;0,947611;0,2171343;0,1267719;0,1697927;-0,2042613;0,1146856;-0,3238565;0,9166469;-0,0005432818;-0,09309584;0,1756868;0,1279694;-0,07803851;0,007158387;0,9886772
21;-0,08069824;0,1149814;0,1655362;-0,2168395;0,0007637183;0,2351;0,9474746;0,219457;0,130491;0,1701477;-0,1908237;0,1247841;-0,309995;0,9229943;-0,000538709;-0,09343964;0,1764411;0,1281686;-0,08060834;0,007019335;0,9884462
22;-0,09035426;0,1253635;0,163602;-0,2502626;0,003052632;0,2414239;0,9375893;0,223275;0,1370455;0,1675169;-0,2138514;0,1335741;-0,2999454;0,9200317;-0,0005342279;-0,09377654;0,1771802;0,1283626;-0,08312219;0,006883238;0,9882137
23;-0,09842478;0,1401378;0,1620241;-0,2853314;-0,006439127;0,2262809;0,9313117;0,2278612;0,1467872;0,1641056;-0,2435804;0,1319387;-0,290585;0,9158718;-0,0005293585;-0,09414265;0,1779833;0,1285722;-0,08584977;0,006735489;0,9879543
24;-0,1047412;0,1584111;0,1599557;-0,322537;-0,03333218;0,1974314;0,9251376;0,2317478;0,1590557;0,1610979;-0,2690978;0,1199401;-0,281193;0,9133078;-0,0005252297;-0,09445305;0,1786643;0,1287489;-0,08815836;0,006610367;0,9877288
25;-0,1104962;0,1773584;0,1564513;-0,361607;-0,05078165;0,1793475;0,9135076;0,2343971;0,1718853;0,1601381;-0,2889653;0,1086711;-0,2783837;0,909501;-0,0005208749;-0,09478047;0,1793826;0,1289343;-0,09058978;0,006478522;0,9874854
26;-0,1144746;0,1964066;0,1528459;-0,4053518;-0,05152239;0,1821118;0,8943549;0,235547;0,1835429;0,1606126;-0,3100705;0,09237164;-0,2792662;0,9040654;-0,0005165188;-0,09510796;0,1801011;0,1291187;-0,09301819;0,006346771;0,9872364
