timestamp;pos_x;pos_y;pos_z;rot_x;rot_y;rot_y
1;-0,1248698;0,2155283;0,1338596;-0,1152172;0,03497119;0,1818112;0,9759338
1;-0,1254125;0,2164572;0,1337498;-0,1178474;0,03426845;0,181323;0,9757354
1;-0,1254128;0,2167917;0,1335039;-0,1184369;0,03513422;0,1808114;0,9757282
1;-0,1253498;0,2170076;0,1333213;-0,1186167;0,03614557;0,1804494;0,9757364
1;-0,1252264;0,2173548;0,1329605;-0,1192588;0,0382991;0,1802403;0,9756147
1;-0,1251217;0,2176726;0,1325869;-0,1196427;0,04074612;0,1805282;0,9754153
1;-0,1250511;0,2179086;0,1322942;-0,1205069;0,04216164;0,1808921;0,9751813
1;-0,125021;0,2180022;0,1321841;-0,1212223;0,04160886;0,1804884;0,9751912
1;-0,1249551;0,2181799;0,1319567;-0,1221886;0,04158812;0,1796412;0,9752279
1;-0,1249242;0,2182956;0,1318255;-0,122498;0,04153604;0,1794057;0,9752346
1;-0,124897;0,2184287;0,131663;-0,1229266;0,04211472;0,179474;0,9751433
1;-0,1248497;0,2185819;0,1314446;-0,123588;0,04298598;0,1795313;0,9750112
1;-0,1247892;0,2186594;0,1313287;-0,1240983;0,04339414;0,1790433;0,975018
1;-0,1247663;0,2186687;0,131291;-0,1244225;0,04285566;0,1785432;0,9750922
1;-0,1247535;0,2187109;0,131227;-0,1248903;0,04255002;0,1780113;0,975143
1;-0,1247244;0,2187426;0,1312031;-0,1252218;0,04269192;0,1777391;0,975144
1;-0,1246879;0,2187633;0,1312142;-0,1254298;0,0427339;0,1772512;0,9752042
1;-0,1246769;0,2187712;0,1312891;-0,1252771;0,0426328;0,1769684;0,9752796
1;-0,1247024;0,218765;0,1313669;-0,1251017;0,04260775;0,1771689;0,9752668
1;-0,1247473;0,2187838;0,1315023;-0,1248166;0,0423337;0,1773042;0,9752907
1;-0,1248036;0,2188078;0,1316264;-0,1247667;0,04184605;0,1772475;0,9753284
1;-0,1248946;0,2188357;0,1317666;-0,1249421;0,04114932;0,1769997;0,9753806
1;-0,1249486;0,2188316;0,1318741;-0,1248693;0,0410738;0,1770293;0,9753878
1;-0,1250876;0,2188279;0,1320834;-0,1246702;0,04087979;0,1774309;0,9753484
1;-0,1252347;0,2188388;0,1322562;-0,1247839;0,04060024;0,177735;0,9752902
1;-0,1253812;0,2188728;0,1324329;-0,1247118;0,0401489;0,178073;0,9752564
1;-0,1255597;0,218925;0,13268;-0,1244209;0,03948476;0,1788426;0,9751799
1;-0,1256079;0,2189468;0,132841;-0,1242993;0,03929666;0,1788921;0,9751939
1;-0,1256474;0,2190244;0,133101;-0,1241151;0,03879511;0,1788498;0,9752452
1;-0,1257364;0,2191812;0,1335443;-0,1242973;0,03778867;0,179016;0,975231
1;-0,1257624;0,2194675;0,1342127;-0,1239406;0,03695969;0,17986;0,9751529
1;-0,125687;0,2200201;0,1353479;-0,123298;0,03555969;0,1814111;0,974999
1;-0,1253054;0,2206882;0,1365039;-0,1232559;0,03434974;0,1816538;0,9750025
1;-0,1246922;0,2211514;0,1373878;-0,1232101;0,03523041;0,1803264;0,9752233
1;-0,122845;0,2228533;0,1406506;-0,1210157;0,0359865;0,1780303;0,9758921
1;-0,1208846;0,2241661;0,1432127;-0,1194058;0,04000068;0,1746033;0,9765531
1;-0,1185422;0,2254709;0,1459846;-0,115623;0,04308185;0,1678456;0,978061
1;-0,1155514;0,2269136;0,1492582;-0,1093268;0,05219081;0,159304;0,9797684
1;-0,1121672;0,2282954;0,1529103;-0,09914547;0,06322436;0,1496228;0,981726
1;-0,1093574;0,2302496;0,1567795;-0,09360652;0,06656221;0,1396206;0,9835209
1;-0,1075032;0,2325843;0,1606485;-0,09704632;0,06303215;0,1321505;0,9844517
1;-0,1054175;0,2351459;0,1651772;-0,09806945;0,06062333;0,121988;0,9858124
1;-0,1032242;0,2375835;0,1703883;-0,09672324;0,05834552;0,1105939;0,9874257
1;-0,1013488;0,2399044;0,1764713;-0,09437452;0,05508947;0,1005859;0,9889091
